ITEM_20150317_000001	Empty_helmet 	Empty_Helmet
ITEM_20150317_002219	Infro Birk Shell 	Infroburk Shell
ITEM_20150317_002220	A shellpiece that can withstand heavy impact despite its thin appearance. {nl}Obtained from Infro Birks. 	Walaupun merupakan cangkang yang tipis, tetapi dapat bertahan dari serangan kuat. Bisa didapat dari Infroburk.
ITEM_20150317_002221	Zolem Core	Core of Zolem
ITEM_20150317_002222	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Zolems.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Zolem.
ITEM_20150317_002223	Gravegolem Core	Core of Cemetery Golem
ITEM_20150317_002224	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Gravegolems.	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Cemetery Golem.
ITEM_20150317_002225	Hallowventer Spirit Matter 	Innocent Evil of Hallowventer
ITEM_20150317_002226	A physical manifestation of a strong spirit. You might become possessed if you handle it without a safety device. {nl}Obtained from Hallowventers. 	Wujud fisik dari jiwa yang kuat. Kamu dapat dirasuki bila tidak menggunakan alat yang aman. Didapat dari Hallowventer.
ITEM_20150317_002227	Big Cockatrice Heart 	Heart of Big Cockatrice
ITEM_20150317_002228	The heart of a beast. Similar physiological layout to the human heart. {nl}Obtained from Big Cockatrices. 	Jantung dari makhluk buas. Tampilannya mirip dengan jantung manusia. Didapat dari Big Cockatrice.
ITEM_20150317_002229	Drake Meat 	Drake Meat
ITEM_20150317_002230	Must be cooked for a very long time due to its resistance to fire. Because of this slow cooking, however, it is extremely delicious. {nl}Obtained from Drakes. 	Harus dimasak dengan waktu yang lama karena ketahanannya terhadap api. Walau bagaimanapun, daging ini sangat enak. Didapat dari Drake.
ITEM_20150317_002231	Phyracon Leaf 	Phyracon Leaf
ITEM_20150317_002232	Red colored leaf. {nl}Obtained from Phyracons. 	Daun berwarna merah. Didapat dari Phyracon.
ITEM_20150317_002233	Shaman Doll Core 	Core of Shaman Doll
ITEM_20150317_002234	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Shaman Dolls. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Shaman Doll.
ITEM_20150317_002235	Slime Piece 	Slime Piece
ITEM_20150317_002236	Due to its soft, spongy texture, it has no use except for magical research. {nl}Obtained from Slimes. 	Karena teksturnya halus dan kenyal, benda ini sering berguna untuk penelitian Magic. Didapat dari Slime.
ITEM_20150317_002237	Arma Thorn 	Thorn of Arma
ITEM_20150317_002238	It is very thick and strong. {nl}Obtained from Armas. 	Sangat tebal dan kuat. Didapat dari Arma.
ITEM_20150317_002239	Green Drake Tooth 	Green Drake Tooth
ITEM_20150317_002240	Handle it with care, as it can drip an acid from the tip. {nl}Obtained from Green Drakes. 	Hati-hati, karena asam dapat keluar dari ujungnya. Didapatkan dari Green Drake. 
ITEM_20150317_002241	Flask Piece 	Flask Piece
ITEM_20150317_002242	Always be careful of broken glass shards. {nl}Obtained from Flasks. 	Berhati - hatilah dengan pecahan kaca. Didapat dari Flask.
ITEM_20150317_002243	Red Hook 	Red Hook
ITEM_20150317_002244	If you don't need a hook, you can melt this to make something else. {nl}Obtained from Red Nudock Hooks. 	Jika kamu tidak membutuhkan sebuah hook, kamu dapat meleburkannya menjadi sesuatu yang lain. Didapatkan dari Red Nudock Hook.
ITEM_20150317_002245	Black Shaman Doll Core 	Core of Black Shaman Doll
ITEM_20150317_002246	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelesly. {nl}Obtained from Tama. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Black Shaman Doll.
ITEM_20150317_002247	Dimmer Marble 	Marble of Dimmer
ITEM_20150317_002248	The fiery color makes this very popular as a decoration. {nl}Obtained from Dimmers. 	Warnanya yang merah menyala membuatnya dikenal sebagai hiasan. Didapat dari Dimmer.
ITEM_20150317_002249	Black Drake Heart 	Heart of Black Drake
ITEM_20150317_002250	Still beating, as if trying to prove its resilience. {nl}Obtained from Black Drakes. 	Masih berdetak, seperti mencoba membuktikan ketahanannya. Didapat dari Black Drake.
ITEM_20150317_002251	Rocktor Skin 	Skin of Rocktor
ITEM_20150317_002252	Usually used as a material for armor. {nl}Obtained from Rocktors. 	Biasa digunakan sebagai bahan membuat Armor. Didapat dari Rocktor.
ITEM_20150317_002253	Venucelos Core 	Core of Venucelos
ITEM_20150317_002254	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Venuceloses. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Venucelos.
ITEM_20150317_002255	Echad Core 	Core of Echad
ITEM_20150317_002256	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Echads. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Echad.
ITEM_20150317_002257	Tama Core 	Core of Tama
ITEM_20150317_002258	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Tamas. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Tama.
ITEM_20150317_002259	Lizardman Tooth 	Lizardman Tooth
ITEM_20150317_002260	If you can handle the savage Lizardmen, this tooth can be a worthy trophy. {nl}Obtained from Lizardmen. 	Bila kamu bisa menghadapi Savage Lizardmen, benda ini sangat berharga. Didapat dari Lizardman.
ITEM_20150317_002261	Hook 	Hook
ITEM_20150317_002262	If you don't need a hook, you can melt this to make something else. {nl}Obtained from Rusty Old Hooks. 	Bila tidak membutuhkan sebuah kait, kamu bisa meleburnya untuk membuat benda lain. Didapat dari Hook.
ITEM_20150317_002263	Winged Frog Core 	Core of Winged Frog
ITEM_20150317_002264	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Winged Frogs. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Winged Frog.
ITEM_20150317_002265	Cockatrice Bones 	Bone of Cockatrice
ITEM_20150317_002266	This is not a leftover chicken bone. {nl}Obtained from Cockatrices. 	Ini bukan sisa tulang ayam. Didapat dari Cockatrice.
ITEM_20150317_002267	Drake Horn 	Drake Horn 
ITEM_20150317_002268	The hardness of this horn makes it suitable to be used as a weapon. {nl}Obtained from Drakes. 	Kerasnya tanduk ini cocok digunakan sebagai senjata. Didapat dari Drake.
ITEM_20150317_002269	Groll Horn 	Groll Horn 
ITEM_20150317_002270	This is the main reason people hunt Grolls. {nl}Obtained from Grolls. 	Ini adalah alasan utama kenapa kita memburu Groll. Didapat dari Groll.
ITEM_20150317_002271	Blue Fragaras Stem 	Blue Fragaras Stem 
ITEM_20150317_002272	It is closer to a tendon than a stem. {nl}Obtained from Blue Fragarases. 	Lebih tepat disebut sebagai tendon daripada sebuah batang. Didapat dari Blue Fragaras.
ITEM_20150317_002273	Vekarabe Shell 	Vekarabe Shell
ITEM_20150317_002274	Feels as if it is made of rock. {nl}Obtained from Vekarabes. 	Serasa seperti terbuat dari batu. Didapat dari Vekarabe.
ITEM_20150317_002275	Boowook Core 	Boowook Core 
ITEM_20150317_002276	A mutant variation of the Nucl, the power source of mutant monsters. Contains highly condensed magic that might explode if handled carelessly. {nl}Obtained from Boowooks. 	Variasi Mutant dari Nucl, sumber tenaga dari Mutant Monsters. Berisi Magic yang dipadatkan yang dapat meledak bila salah penanganan. Didapat dari Boowook.
ITEM_20150317_002277	Vubbe Bow 	Vubbe Cross Stick
ITEM_20150317_002278	Very crudely made bow. {nl}Obtained from Vubbe Archers. 	Sebuah busur yang dibuat asal - asalan. Didapat dari Vubbe Archer.
ITEM_20150317_002279	Vubbe Pickaxe 	Vubbe Pickaxe
ITEM_20150317_002280	A pickaxe used in mines. Can be used as a weapon when needed. {nl}Obtained from Vubbe Miners. 	Sebuah Pickaxe yang digunakan dalam tambang. Dapat digunakan sebagai senjata. Didapat dari Vubbe Miner.
ITEM_20150317_002281	Vubbe Hood 	Vubbe Hood
ITEM_20150317_002282	According to a theory, Vubbes wear these to look fancy. {nl}Obtained from Vubbe Mages and Vubbe Shamans. 	Teori mengatakan, Vubbes menggunakan benda ini agar terlihat mewah. Didapat dari Vubbe Mage and Shaman.
ITEM_20150317_002283	Dandel Wing 	Dandel Wing 
ITEM_20150317_002284	Looks similar to a bat wing, but is actually a plant stem. {nl}Obtained from Dandels. 	Sangat mirip dengan Bat Wing tapi bedanya ini adalah batang tanaman. Didapat dari Dandel.
ITEM_20150317_002285	Panto Eyebrow 	Panto Eyebrow
ITEM_20150317_002286	Panto Spear Shaft 	Panto Spear Shaft
ITEM_20150317_002287	Spear used by the Panto. {nl}Obtained from Panto Spearmen. 	Tombak yang digunakan oleh Panto. Didapat dari Panto Spearman.
ITEM_20150317_002288	Tipio Stamen 	Tipio Stamen
ITEM_20150317_002289	You will sneeze if you breathe in the pollen from this. {nl}Obtained from Tipios. 	Bila kamu terpapar olehnya, kamu akan bersin - bersin. Didapat dari Tipio.
ITEM_20150317_002290	Doyor Leaf Bunch 	Doyor Leaf Bunch
ITEM_20150317_002291	Perfect alternative to an umbrella. {nl}Obtained from Doyors. 	Ini bagus digunakan sebagai payung. Didapat dari Doyor.
ITEM_20150317_002292	Hogma Archer Belt 	Hogma Archer Belt
ITEM_20150317_002293	Very strong, but crude, belt. {nl}Obtained from Hogma Archers. 	Sangat kuat dan kasar. Didapat dari Hogma Archer.
ITEM_20150317_002294	Panto Spearhead 	Panto Spear Point
ITEM_20150317_002295	A Panto insignia is engraved onto the spear blade. {nl}Obtained from Panto Spearthrowers. 	Lambang Panto terpahat di ujung tombaknya. Didapat dari Panto Spearthrowers.
ITEM_20150317_002296	Phylogistone 	Phylogistone
ITEM_20150317_002297	A mysterious stone infused with the power of fire. {nl}Obtained from Drakes. 	Sebuah batu misterius yang berisi kekuatan api. Didapatkan dari Drake.
ITEM_20150317_002298	Sulfur 	Sulfur
ITEM_20150317_002299	A mineral that burns blue. 	Mineral yang berubah warna menjadi biru.
ITEM_20150317_002300	Cinnabar 	Cinnabar
ITEM_20150317_002301	A red ore, the principal ingredient of Mercury. 	Batu berwarna merah yang digunakan sebagai bahan utama dari Mercury.
ITEM_20150317_002302	Bat Wing 	Wing of Bat
ITEM_20150317_002303	A very frequently used ingredient for alchemy. 	Salah satu bahan dari Alchemy.
ITEM_20150317_002304	Glass Fragment 	Glass Fragment
ITEM_20150317_002305	A broken glass fragment of no use. {nl}Obtained from Flasks. 	Pecahan kaca yang tidak berguna. Didapat dari Flask.
ITEM_20150317_002306	Oak Wood	Oak wood
ITEM_20150317_002307	An unprocessed log of wood. 	Kayu yang belum diolah.
ITEM_20150317_002308	Ash Wood 	Ash Wood
ITEM_20150317_002309	Pine Wood	Pine Wood
ITEM_20150317_002310	Cedar Wood 	Cedar Wood
ITEM_20150317_002311	Oak Lumber 	Oak Lumber
ITEM_20150317_002312	Processed lumber used as a material for crafting. 	Kayu yang telah diolah untuk bahan crafting.
ITEM_20150317_002313	Ash Lumber 	Ash Lumber
ITEM_20150317_002314	Pine Lumber 	Pine Lumber
ITEM_20150317_002315	Cedar Lumber 	Cedar Lumber
ITEM_20150317_002316	Coliflower Stem 	Cauliflower Stem
ITEM_20150317_002317	Very difficult to process due to abundance of thorns on the stem. {nl}Obtained from Coliflowers. 	Bahan ini sulit diproses karena banyaknya duri. Didapat dari Cauliflower.
ITEM_20150317_002318	Altered Sauga Core 	Altered Sauga Core
ITEM_20150317_002319	Core that has been modified for greater output. {nl}Obtained from Saugas. 	Core yang dimodifikasi untuk hasil yang lebih baik. Didapat dari Saugar.
ITEM_20150317_002320	Dandel Crystal 	Dandel Crystal 
ITEM_20150317_002321	This crystal formation found inside the plant comes from the solidification of its sap. {nl}Obtained from Dandels. 	Pola kristal dapat terlihat dari endapan getah tanaman. Didapat dari Dandel.
ITEM_20150317_002322	Bagworm Poison 	Bagworm Poison 
ITEM_20150317_002323	Not suitable for drinking! {nl}Obtained from Bagworms. 	Jangan diminum! Didapat dari Bagworm.
ITEM_20150317_002324	Broadhead Arrow 	Broadhead Arrow
ITEM_20150317_002325	An arrowhead used for hunting. It has a broad edge to assist in hunting. 	Sebuah mata panah yang digunakan untuk berburu. Memiliki ujung yang lebar dan tajam.
ITEM_20150317_002326	Bodkin Point Arrow 	Bodkin Point Arrow
ITEM_20150317_002327	A very narrow, pointy arrowhead optimized for armor piercing. 	Mata panah yang sangat tipis dan tajam, bagus digunakan untuk Armor Piercing.
ITEM_20150317_002328	Hail Mary Arrow 	Hail Mary Arrow
ITEM_20150317_002329	An arrowhead designed to carry payload of explosives. 	Sebuah mata panah yang dapat diisi peledak.
ITEM_20150317_002330	Wendigo Fang 	Wendigo Fang
ITEM_20150317_002331	An intact Wendigo Fang that can fetch a great price. {nl}Obtained from Wendigos. 	Ini berharga cukup mahal bila kondisinya bagus. Didapat dari Wendigo.
ITEM_20150317_002332	Gold Bar 	Gold Bar
ITEM_20150317_002333	A bar of gold. It is obviously worth a lot. 	Sebatang emas. Tentu saja, harganya mahal.
ITEM_20150317_002334	Mercury 	Mercury
ITEM_20150317_002335	A strange gemstone sometimes found in monsters. Attracted by its mysterious color, many collectors seek this gem. 	Gemstone aneh yang ditemukan dari Monster. Banyak kolektor yang mengincarnya, karena warnanya yang misterius.
ITEM_20150317_002336	Kepa Skin 	Kepa Skin
ITEM_20150317_002337	Advanced Materials 	Advanced materials
ITEM_20150317_002338	Kepa Crystal 	Kepa Crystal
ITEM_20150317_002339	Rare Materials 	Rare materials
ITEM_20150317_002340	Leaf Bug Feeler 	Feelers of Leaf Bug
ITEM_20150317_002341	Shiny Skin 	Shiny Skin
ITEM_20150317_002342	Hanaming Aroma 	Hanaming Aroma
ITEM_20150317_002343	Hanaming Crystal 	Hanaming Crystal 
ITEM_20150317_002344	Chinency Root 	Chinency Root
ITEM_20150317_002345	Infro Rocktor Bones 	Infro Rocktor Bones
ITEM_20150317_002346	It's not only the shell that's sturdy, but also the insides. {nl}Obtained from Infro Rocktors. 	Ini bukan hanya cangkangnya yang kokoh, tetapi bagian dalamnya juga. Didapatkan dari Infro Rocktors.
ITEM_20150317_002347	Talt 	Talt
ITEM_20150317_002348	A strange gemstone sometimes found in monsters. Attracted by its mysterious color, many collectors seek this gem. One curious amasser reported the stone to have a very salty taste.	Gemstone aneh yang ditemukan dari Monster. Banyak kolektor yang mengincarnya, karena warnanya yang misterius.
ITEM_20150317_002349	Chupacabra Skin 	Chupacabra Skin
ITEM_20150317_002350	Chupacabra Eyeball 	Chupacabra Eyeball
ITEM_20150317_002351	Popolion Bones 	Bone of Popolion
ITEM_20150317_002352	Popolion Leaf 	Popolion Leaf
ITEM_20150317_002353	Weaver Skin 	Skin of Weaver
ITEM_20150317_002354	Weaver Venom 	Weaver Venom
ITEM_20150317_002355	Pokubu Meat 	Pokubu Meat
ITEM_20150317_002356	Pokubu Horn  	Pokubu Horn  
ITEM_20150317_002357	Discolored Leaf 	Discolored Leaf
ITEM_20150317_002358	Jukopus Rope 	Jukopus Rope
ITEM_20150317_002359	Red Kepa Stem 	Red Kepa Stem
ITEM_20150317_002360	Vubbe Spear Head 	Vubbe Spear Head
ITEM_20150317_002361	Vubbe Blood 	Vubbe Blood 
ITEM_20150317_002362	Vubbe's blood is green. {nl}Obtained from Vubbes. 	Vubbe memiliki darah berwarna hijau. Didapat dari Vubbe.
ITEM_20150317_002363	Raflower Root 	Raflower Root
ITEM_20150317_002364	Raflower Crystal 	Raflower Crystal 
ITEM_20150317_002365	Stone Orca Piece 	Stone Orca Piece
ITEM_20150317_002366	Bat Tooth 	Bat Tooth
ITEM_20150317_002367	Bats use their teeth to suck blood from their target. {nl}Obtained from Bats. 	Bat menghisap darah dengan gigi ini. Didapat dari Bat.
ITEM_20150317_002368	Shredded Piece of Cloth 	Shredded Piece of Cloth 
ITEM_20150317_002369	An old piece of cloth. {nl}Obtained from Shreddeds. 	Sehelai kain tua. Didapat dari Shredded
ITEM_20150317_002370	Shredded Spirit Matter 	Shredded Spirit Matter 
ITEM_20150317_002371	A physical manifestation of a strong spirit. You might become possessed if you handle it without a safety device. {nl}Obtained from Shreddeds. 	Wujud fisik dari jiwa yang kuat. Kamu dapat dirasuki bila tidak menggunakan alat yang aman. Didapat dari Shredded.
ITEM_20150317_002372	Yekubite Tooth 	Yekubite Tooth
ITEM_20150317_002373	A tooth that has developed to crush meat. {nl}Obtained from Yekubites. 	Gigi yang berkembang untuk menghancurkan daging. Bisa didapat dari Yekubite.
ITEM_20150317_002374	Yekubite Crystal 	Yekubite Crystal 
ITEM_20150317_002375	A crystal that only grows on the tail of a Yekubite. It grows in size as its host matures. {nl}Obtained from Yekubites. 	Crystal yang tumbuh pada ekor dari Yekubite. Semakin dewasa ia, maka semakin besar juga Crystal itu. Bisa didapat dari Yekyubite
ITEM_20150317_002376	Crystal Spider Shell 	Crystal Spider Shell 
ITEM_20150317_002377	Crystal Spider Crystal 	Crystal Spider Crystal 
ITEM_20150317_002378	If you're blinded by the crystals, you won't notice the monster lurking beneath. {nl}Obtained from Crystal Spiders. 	Bila kamu dibutakan oleh Crystals, kamu tidak akan sadar ada monster di bawahmu. Didapat dari Crystal Spider.
ITEM_20150317_002379	Vubbe Fighter Blood 	Vubbe Fighter Blood 
ITEM_20150317_002380	Vubbe blood that is thicker and more viscous than normal. {nl}Obtained from Vubbe Fighters. 	Vubbe Blood yang lebih tebal dan kental dari darah biasa . Didapat dari Vubbe Fighter.
ITEM_20150317_002381	Zignuts Fruit 	Zignuts Fruit
ITEM_20150317_002382	Zignuts Seed 	Zignuts Seed
ITEM_20150317_002383	Panto Leaf Decoration 	Panto Leaf Decoration
ITEM_20150317_002384	Hummingbird Wing 	Wing of Humming Bird
ITEM_20150317_002385	A wing that has the shape of a flower petal. {nl}Obtained from Hummingbirds. 	Sebuah sayap yang berbentuk daun bunga. Didapat dari Hummingbird.
ITEM_20150317_002386	Hummingbird Feeler 	Humming Bird Feelers
ITEM_20150317_002387	Hummingbird Wing Power 	Humming Bird Wing Power
ITEM_20150317_002388	Leafly Wing 	Leafly Wing
ITEM_20150317_002389	Always be careful with the wings of an insect. {nl}Obtained from Leaflies. 	Selalu berhati - hatilah dengan sayap serangga. Didapat dari Leafly.
ITEM_20150317_002390	Leafly Feeler 	Leafly Feelers
ITEM_20150317_002391	Leafly Egg 	Leafly Egg
ITEM_20150317_002392	Seedmia Seed 	Seedmia Seed
ITEM_20150317_002393	What is it like to grow a Seedmia? {nl}Obtained from Seedmias. 	Apa yang terpikir saat ingin menumbuhkan Seedmia? Didapat dari Seedmia.
ITEM_20150317_002394	Seedmia Pollen 	Seedmia Pollen
ITEM_20150317_002395	Drake Epaulet 	Drake Epaulet
ITEM_20150317_002396	Firent Skin 	Firent Skin
ITEM_20150317_002397	It looks similar to a normal tree. {nl}Obtained from Firents. 	Itu terlihat mirip dengan pohon biasa. Didapat dari Firent.
ITEM_20150317_002398	Broken Panto Sword 	Broken Panto Sword
ITEM_20150317_002399	It might be usable if repaired. {nl}Obtained from Panto Fighters. 	Dapat digunakan kembali setelah diperbaiki. Didapat dari Panto Fighter.
ITEM_20150317_002400	Panto Hoof 	Panto Hoof
ITEM_20150317_002401	Panto Shaman Wand Decoration 	Panto Shaman Wand Decoration
ITEM_20150317_002402	Mallardu Meat 	Meat of Mallardu
ITEM_20150317_002403	A good source of protein. {nl}Obtained from Mallardus. 	Sumber protein yang bagus. Obtained it from Mallardu.
ITEM_20150317_002404	Mallardu Feather 	Mallardu Feather
ITEM_20150317_002405	Mallardu Beak 	Beak of Mallardu
ITEM_20150317_002406	Violet Flower 	Flower of Violet
ITEM_20150317_002407	Violet Crystal 	Crystal of Violet
ITEM_20150317_002408	Obtained from Yognomes. 	Didapat dari Yognome.
ITEM_20150317_002409	Yognome Fragment 	Fragment of Yognome
ITEM_20150317_002410	Obtained from Egnomes. 	Didapat dari Egnome.
ITEM_20150317_002411	Egnome Fragment 	Fragment of Egnome
ITEM_20150317_002412	A piece of metal haunted by an evil energy. {nl}Obtained from Egnomes. 	Potongan besi yang berisikan Evil Spirit.
ITEM_20150317_002413	Rodelin Wing 	Wing of Rodelin
ITEM_20150317_002414	Rodelin Cloth Piece 	Cloth Piece of Rodelin
ITEM_20150317_002415	Pawnd Hair 	Hair of Halirpawnd
ITEM_20150317_002416	Pawnd Bow 	Pawnd Cross Stick
ITEM_20150317_002417	Pawndel Hair 	Hair of Pawndel
ITEM_20150317_002418	Pawndel Shaft 	Pawndel's Shaft
ITEM_20150317_002419	Because the metal is crafted by magic, it usually disintegrates when the monster dies. Very rarely will it stay intact. {nl}Obtained from Pawndels. 	Karena metal itu dibuat dengan magic, biasanya akan hancur ketika monster mati. Sangat jarang itu tetap utuh. Didapatkan dari Pawndel.
ITEM_20150317_002420	Galok Leather 	Galok Leather
ITEM_20150317_002421	The leather of a very strong demon that has very high durability. {nl}Obtained from Galoks. 	Kulit dari Demon yang sangat kuat. Didapat dari Galok.
ITEM_20150317_002422	Galok Claw 	Galok Claw
ITEM_20150317_002423	Glizardon Bones 	Bone of Glizardon
ITEM_20150317_002424	You need to face great danger to obtain this. {nl}Obtained from Glizardons. 	Sangat sulit dan penuh rintangan untuk mendapatkannya. Didapat dari Glizardon.
ITEM_20150317_002425	Glizardon Heart 	Heart of Glizardon
ITEM_20150317_002426	This heart is blessed with a great life force, but cursed with a powerful evil energy. {nl}Obtained from Glizardons. 	Berisikan jiwa Devil yang sangat kuat. Didapat dari Glizardon.
ITEM_20150317_002427	Glizardon Tail 	Tail of Glizardon
ITEM_20150317_002428	Pure Crystal 	Pure Crystal
ITEM_20150317_002429	A gemstone carried by many powerful monsters in the Crystal Mine. {nl}Obtained from Carapace and Specter Monarch. 	Permata yang dimiliki oleh Monster di Crystal Mine. Didapat dari Specter Master dan Carapace dari Mine.
ITEM_20150317_002430	Firewood 	Firewood
ITEM_20150317_002431	Used to start a campfire. You can start a campfire while sitting. 	Digunakan untuk membuat api unggun. Api unggun hanya tersedia saat kamu sedang duduk.
ITEM_20150317_002432	Lapas Resin 	Lapas Resin
ITEM_20150317_002433	Judas Crystal 	Judas Crystal
ITEM_20150317_002434	Seed Oil 	Seed Oil
ITEM_20150317_002435	Maize Spore Pocket 	Maize Spore Pocket
ITEM_20150317_002436	If you're not careful, the pocket may burst and the spores will fly out. {nl}Obtained from Maizes. 	Bila tidak berhati - hati, spore-nya akan menyebar. Didapat dari Maize.
ITEM_20150317_002437	Maize Leaf 	Maize Leaf
ITEM_20150317_002438	Maize Eyeball 	Maize Eyeball
ITEM_20150317_002439	Fishing Rod 	Fishing Rod
ITEM_20150317_002440	Obtained from Fishermen. 	Didapat dari Fisherman.
ITEM_20150317_002441	Fisherman Core 	Core of Fisherman
ITEM_20150317_002442	Kitchen Knife 	Kitchen Knife
ITEM_20150317_002443	A dented kitchen knife. {nl}Obtained from Brown Zigris. 	Pisau ini tidak memiliki mata pisau. Didapat dari Brown Zigri.
ITEM_20150317_002444	Large Hook 	Great Hook
ITEM_20150317_002445	If you don't need this hook, you can melt this to craft something else. {nl}Obtained from Green Puragis. 	Lebih baik meleburnya untuk membuat benda lain bila kamu tidak butuh. Didapat dari Green Puragi.
ITEM_20150317_002446	Banshee Spirit Matter 	Innocent Evil of Banshee
ITEM_20150317_002447	A physical manifestation of a strong spirit. You might become possessed if you handle it without a safety device. {nl}Obtained from Banshees. 	Wujud dari benda dengan jiwa yang kuat. Mungkin dapat berisi kekuatan misterius. Didapat dari Bensi.
ITEM_20150317_002448	Pluplu Arrow 	Flew Flew Arrow
ITEM_20150317_002449	This noise-making arrow can be used to alert caution or send signals to others. 	Panah yang digunakan untuk memberi kode atau mengarahkan perhatian dengan mengeluarkan suara.
ITEM_20150317_002450	Red Eye of Shtayim 	Red Eye of Shtayim
ITEM_20150317_002451	Blue Eye of Echad 	Blue Eye of Echad
ITEM_20150317_002452	Grummer Leaf 	Grummer Leaf
ITEM_20150317_002453	A leaf full of smaller needle-like leaves. {nl}Obtained from Grummers. 	Ini adalah sebuah daun berbentuk seperti jarum. Didapat dari Grummer Leaf.
ITEM_20150317_002454	Sticky Liquid 	Sticky Liquid
ITEM_20150317_002455	Latex 	Latex
ITEM_20150317_002456	Fat 	Fat
ITEM_20150317_002457	Pokubon Meat 	Pokuborn Meat
ITEM_20150317_002458	Obtained from Pokubons. 	Didapat dari Pokubon.
ITEM_20150317_002459	Loxodon Meat 	Loxodon Meat
ITEM_20150317_002460	A fatty meat. {nl}Obtained from Loxodons. 	Fet meat
ITEM_20150317_002461	Ansur 	Ansur
ITEM_20150317_002462	Veonol 	Veonol
ITEM_20150317_002463	Daer 	Daer
ITEM_20150317_002464	Penol 	Penol
ITEM_20150317_002465	Arah 	Arah
ITEM_20150317_002466	Bushspider Leaf 	Bushspider Leaf
ITEM_20150317_002467	A flat leaf. {nl}Obtained from Bushspiders. 	Terlihat seperti daun biasa. Didapat dari Chromabo.
ITEM_20150317_002468	Gigantic Shinbone 	Great Shinbone
ITEM_20150317_002469	A very large shinbone. {nl}Obtained from Hogma Warriors. 	Sebuah tulang kering yang besar. Didapat dari Hogma Warrior.
ITEM_20150317_002470	Black Desmodus Tooth 	Black Desmodus Tooth
ITEM_20150317_002471	Big Black Griba Bamboo Hat	Black Big Grivaru Gat
ITEM_20150317_002472	Egg 	Eggs
ITEM_20150317_002473	A chicken egg often used in cooking. 	Sebuah telur yang biasa digunakan untuk memasak.
ITEM_20150317_002474	Oxygen Pocket 	Oxygen Pocket
ITEM_20150317_002475	Obtained from Codomors. 	Didapat dari Kodomor.
ITEM_20150317_002476	Groll Tooth 	Groll Tooth
ITEM_20150317_002477	Grolls usually attack with their horns, but sometimes will also use their teeth. {nl}Obtained from Grolls. 	Groll biasa menyerang menggunakan tanduk tapi terkadang menggunakan gigi. Didapat dari Groll.
ITEM_20150317_002478	Griba Bamboo Hat	Griva Gat
ITEM_20150317_002479	Obtained from Red Gribas.	Didapat dari Red Griba.
ITEM_20150317_002480	Gribaru Bamboo Hat	Grivaru Gat
ITEM_20150317_002481	Wooden Pile 	Wooden Pile
ITEM_20150317_002482	Obtained from Kowaks. 	Didapat dari Kowak.
ITEM_20150317_002483	Rusted Scrap Metal 	Rusted Scrap Metal
ITEM_20150317_002484	Useless scrap metal that has rusted. {nl}Obtained from Vubbe Warriors. 	Besi yang tidak berguna. Berkarat dimana - mana. Didapat dari Vubbe Warrior.
ITEM_20150317_002485	Dark Slime Fragment 	Dark Slime Fragment
ITEM_20150317_002486	Ducky Beak 	Beak of Duckey
ITEM_20150317_002487	Obtained from Duckys. 	Didapat dari Duckey.
ITEM_20150317_002488	Desmodus Tooth 	Desmodus Tooth
ITEM_20150317_002489	Obtained from Desmoduses. 	Didapat dari Desmodus.
ITEM_20150317_002490	Denden Petal 	Denden Petal
ITEM_20150317_002491	Obtained from Dendens. 	Didapat dari Denden.
